REGION,user_id,campaign,medium,source,LP_benefit_activation,unsubscribe,cancellation
europe-west1,68993,22VLB-SE-NA-AO-CPM-brand_2022_VLG_Brand_Search_NA_AlwaysOn_Awareness_Brand,cpc,google,,,
europe-west1,68I68dA2M5NqYubIkJJ2KwRyJJg2,23VLE-FB-PC-AO-CPL-bestsellers_2023_VLG_Ecom_Facebook_PROS_AlwaysOn_Consideration_Bestsellers,paid_social,facebook,,,
europe-west1,68SO9XGHn9Qj6XfB2jFilKHWYB32,22VLB-SE-NA-AO-CPM-brand_2022_VLG_Brand_Search_NA_AlwaysOn_Awareness_Brand,cpc,google,,,
europe-west1,68STzBKLiZSKxHQHyp3EhwRkv6B3,23WAB-SE-NA-AO-CPM-brand_2023_WAL_Brand_Search_NA_AlwaysOn_Awareness_Brand,cpc,google,,,
europe-west1,68XrS5KfDLXVSaoDkLLm7v0z1Cy2,23WAE-FB-PC-AO-CPL-bestsellers_2023_WAL_Ecom_Facebook_PROS_AlwaysOn_Consideration_Bestsellers,paid_social,facebook,,,
europe-west1,68XtkHrkP3UfOcSxpxDyE4uVXIQ2,23WAE-FB-PC-AO-CPA-bestsellers_2023_WAL_Ecom_Facebook_PROS_AlwaysOn_Consideration_Bestsellers,paid_social,facebook,13,,
europe-west1,68cICFQWcffpINCweb5kgt7oFKu1,20231012_BENL_1CBugles_subscribers,email,email,,,
europe-west1,68hQR3ZicENc20yNMLjkUoLYwwe2,22VLB-SE-NA-AO-CPM-brand_2022_VLG_Brand_Search_NA_AlwaysOn_Awareness_Brand,cpc,google,2,,
europe-west1,68kqNxvUfyN5erImaqojqYQq4yO2,23WAE-FB-PC-AO-CPL-bestsellers_2023_WAL_Ecom_Facebook_PROS_AlwaysOn_Consideration_Bestsellers,paid_social,facebook,,,
europe-west1,68m6YC0qjnSnKNWHOb8sqQbhHEJ3,20240226_BEFR_Coke_active-1,email,email,3,,
europe-west1,68rUfirXWqgp1T0BTLc97Qrb1E03,23WAE-PM-PP-D-ROAS_2023_WAL_Ecom_Pmax_PROS_Dynamic_Purchase_,cpc,google,2,,
europe-west1,68xfVQQuSCgUa1fVmoDW9HkiNaZ2,22BEE-FB-PC-D-allproducts_2022_BEL_Ecom_Facebook_PROS_Dynamic_Consideration_AllProducts,paid_social,facebook,4,,
europe-west1,69006,daisycon_Face à la crise,affiliate,daisycon,,,
europe-west1,69029,23VLE-FB-PC-AO-CPL-bestsellers_2023_VLG_Ecom_Facebook_PROS_AlwaysOn_Consideration_Bestsellers,paid_social,facebook,,,
europe-west1,69042,23WAE-FB-PC-D-CPL-_2023_WAL_Ecom_Facebook_PROS_Dynamic_Consideration_,paid_social,facebook,,,
europe-west1,69044,22VLB-SE-NA-AO-CPM-brand_2022_VLG_Brand_Search_NA_AlwaysOn_Awareness_Brand,cpc,google,,,
europe-west1,69058,(organic),organic,google,,,
europe-west1,69061,(referral),referral,l.instagram.com,,,
europe-west1,69071,23VLE-FB-PC-AO-CPL-bestsellers_2023_VLG_Ecom_Facebook_PROS_AlwaysOn_Consideration_Bestsellers,paid_social,facebook,,,
europe-west1,69077,23WAE-FB-PC-D-CPL-_2023_WAL_Ecom_Facebook_PROS_Dynamic_Consideration_,paid_social,facebook,,,
europe-west1,69088,(referral),referral,l.facebook.com,,,
europe-west1,69097,(referral),referral,l.facebook.com,,,
europe-west1,69107,22VLB-SE-NA-AO-CPM-brand_2022_VLG_Brand_Search_NA_AlwaysOn_Awareness_Brand,cpc,google,,,
europe-west1,69109,23WAB-SE-NA-AO-CPM-brand_2023_WAL_Brand_Search_NA_AlwaysOn_Awareness_Brand,cpc,google,,,
europe-west1,69111,23WAE-FB-PC-D-CPL-_2023_WAL_Ecom_Facebook_PROS_Dynamic_Consideration_,paid_social,facebook,,,
europe-west1,69131,22VLB-SE-NA-AO-CPM-brand_2022_VLG_Brand_Search_NA_AlwaysOn_Awareness_Brand,cpc,bing,,,
europe-west1,69135,23WAB-SE-NA-AO-CPM-brand_2023_WAL_Brand_Search_NA_AlwaysOn_Awareness_Brand,cpc,google,,1,
europe-west1,69138,daisycon_Face à la crise,affiliate,daisycon,,,
europe-west1,69146,(organic),organic,google,,,
europe-west1,69152,daisycon_Face à la crise,affiliate,daisycon,,,
europe-west1,69154,23WAB-SE-NA-AO-CPM-brand_2023_WAL_Brand_Search_NA_AlwaysOn_Awareness_Brand,cpc,google,,,
europe-west1,69156,20230610_BENL_WarehouseCode_Subscribers,email,email,,,
europe-west1,69162,22VLB-SE-NA-AO-CPM-brand_2022_VLG_Brand_Search_NA_AlwaysOn_Awareness_Brand,cpc,google,,,
europe-west1,69173,23VLE-FB-PP-D-ROAS_2023_VLG_Ecom_Facebook_PROS_Dynamic_Purchase,paid_social,facebook,,,
europe-west1,69177,(referral),referral,l.facebook.com,,,
europe-west1,69179,23WAE-FB-PC-D-CPL-_2023_WAL_Ecom_Facebook_PROS_Dynamic_Consideration_,paid_social,facebook,,,
europe-west1,69190,klarna-merchantboost,referral,klarna,,,
europe-west1,69191,22VLE-SE-NP-AO-CPC-foodwaste_2022_VLG_Ecom_Search_NA_AlwaysOn_Purchase_FoodWaste,cpc,bing,,,
europe-west1,69199,22VLE-SE-NP-AO-ROAS-foodwaste_2022_VLG_Ecom_Search_NA_AlwaysOn_Purchase_FoodWaste,cpc,google,,,
europe-west1,69223,22VLB-SE-NA-AO-CPM-brand_2022_VLG_Brand_Search_NA_AlwaysOn_Awareness_Brand,cpc,google,,,
europe-west1,69224,(organic),organic,google,,,
europe-west1,69226,22VLB-SE-NA-AO-CPM-brand_2022_VLG_Brand_Search_NA_AlwaysOn_Awareness_Brand,cpc,google,,,
europe-west1,69227,daisycon_Face à la crise,affiliate,daisycon,,,
europe-west1,69235,(referral),referral,l.facebook.com,,,
europe-west1,69247,22VLB-SE-NA-AO-CPM-brand_2022_VLG_Brand_Search_NA_AlwaysOn_Awareness_Brand,cpc,google,,,
europe-west1,69258,23VLE-FB-PP-D-ROAS_2023_VLG_Ecom_Facebook_PROS_Dynamic_Purchase,paid_social,facebook,,,
europe-west1,69259,(referral),referral,l.facebook.com,,,
